name	x	y
The Portable Harlem Renaissance(-)Reader 	3369.1	712.02
Passing: 	3309.5	933.68
Home To(-)Harlem 	3379.9	663.58
The Blacker the(-)Berry 	3267.2	667.97
I Love Myself When I Am Laughing... And(-)Then Again: A Zora Neale Hurston Reader	3359.6	517.26
Zora Neale Hurston: A(-)Literary Biography	3674.6	414
Mules and(-)Men 	3221	477.63
"Zora Neale Hurston : Novels and Stories : Jonah's Gourd Vine / Their Eyes Were Watching(-)God / Moses, Man of the Mountain / Seraph on the Suwanee / Selected Stories "	3539.4	593.62
Tell My Horse: Voodoo and Life(-)in Haiti and Jamaica 	3109	458.68
The Taming of the(-)Shrew 	1734.4	937.19
The Prince	1696	1676.6
Paradise Lost(-)	1723.3	1342.8
Divine Comedy:(-)Inferno 	1625.7	1210.5
Saint George and(-)the Dragon	1623.8	1122
Shakespeare Stories	1521.9	1120.9
One Thousand and One(-)Arabian Nights 	1584.9	1066.7
The Adventures of Robin(-)Hood 	1563.8	1166.1
All's Well That Ends(-)Well 	1589.3	978.66
"Resistance, Rebellion, and(-)Death: Essays"	2560	1548
Warrior of the Light:(-)A Manual	2906.1	132.75
The Pilgrimage(-)	3097.2	154.75
By the River Piedra I Sat Down and(-)Wept: A Novel of Forgiveness 	2929	176.81
The Witch of Portobello:(-)A Novel 	2737.8	190.63
Veronika Decides to Die: A(-)Novel of Redemption 	3060.3	220.84
The Glass Bead(-)Game: 	2456.2	927.86
Demian	2482.7	1027.7
Narcissus and Goldmund:(-)A Novel	2491.3	883.62
The Journey to(-)the East	2164.2	737.38
Beneath the(-)Wheel	2377.2	916.61
Pride &(-)Prejudice	1845.2	564.19
Sense and(-)Sensibility	1997.8	696.28
Persuasion	2078.1	741.72
A Tale of Two(-)Cities 	2138.3	985.26
Bronte's Wuthering(-)Heights 	1819.5	650.96
CliffsNotes Jane(-)Eyre	2070.7	878.05
A Passage(-)to India	2783.6	1360.4
White Teeth:(-)A Novel	3125.6	1256.5
Northanger Abbey(-)	1927.8	652.01
Mansfield Park(-)	1982.1	608.01
Oliver Twist(-)	2037.9	785.76
Twilight 	2018.3	555.13
Pride and Prejudice -(-)The Special Edition 	1931.7	560.7
The Twilight Saga: The(-)Official Guide	2139.7	554.84
Marked 	2241.2	377.32
Twilight Soundtrack	2300.3	573.76
Twilight: The Complete Illustrated(-)Movie Companion	2258.4	618.46
Betrayed 	2251.7	421.55
Run: A(-)Novel	3760.1	1392.2
The Maytrees:(-)A Novel	3589	1438.4
Heidegger's Being And Time:(-)A Reader's Guide 	2564.8	1835.7
Phenomenology of(-)Perception 	2631.1	1751.3
Introduction to(-)Metaphysics 	2751.1	1768.2
Phenomenology of(-)Spirit 	2353.5	1855.1
Basic Writings	2675.8	1844.5
The Ethics(-)Of Ambiguity	2391.1	1743.8
No Longer(-)at Ease	2911.4	1228.6
Chinua Achebe's Things Fall_(-)Apart 	2461.4	1204
Understanding Things Fall Apart:(-)Selected Essays and Criticisms	2796.4	1234.3
The Gulag Archipelago Volume 1: An(-)Experiment in Literary Investigation 	3304.2	1742.9
Cancer Ward	2964.5	1753.3
"King Henry IV, Part(-)2 "	1541.2	841.27
Le Morte D'Arthur: The(-)Winchester Manuscript 	1644.7	1022.7
Manchild in the(-)Promised Land	3743.3	901.73
Bodega Dreams:(-)A Novel	3847.4	1024.4
Dreaming in(-)Cuban	3913	1068.5
How the Garcia Girls(-)Lost Their Accents 	3896.6	978.04
The Boy In the(-)Striped Pajamas 	4019.5	1431.4
I Am(-)the Messenger	3990.5	1475.4
A Thousand(-)Splendid Suns	2995.3	1657.1
The Satanic Verses:(-)A Novel	3344.7	1330.7
The Moor's(-)Last Sigh	3298.6	1216.1
Liberty and Tyranny: A(-)Conservative Manifesto	2682	1982.9
My Grandfather's Son:(-)A Memoir	3346.7	2048.6
Men in Black: How the Supreme(-)Court Is Destroying America	2988.9	1890
An Inconvenient Book: Real Solutions to(-)the World's Biggest Problems	3072.4	2018.4
The Christmas(-)Sweater	3344.3	2003.9
The Collected Essays of(-)Ralph Ellison 	3966	684.8
The Cambridge Companion to(-)Ralph Ellison 	3822.7	725.68
Juneteenth: A(-)Novel	3971.4	629.47
Flying Home: and(-)Other Stories	3587.2	770.12
Ralph Ellison: Emergence(-)of Genius	3900.4	575.08
Steinbeck's the Grapes of(-)Wrath 	3005.7	720.42
